,gen,x,y
121,ND2,185,1
122,ND2,186,1
123,ND2,187,1
124,ND2,188,1
125,ND2,189,1
126,ND2,190,1
127,ND2,191,1
128,ND2,192,1
129,ND2,193,1
130,ND2,194,1
131,ND2,195,1
132,ND2,196,1
133,ND2,197,1
134,ND2,198,1
135,ND2,199,1
136,ND2,200,1
137,ND2,201,1
138,ND2,202,1
139,ND2,203,1
140,ND2,204,1
141,ND2,205,1
142,ND2,206,1
143,ND2,207,1
144,ND2,208,1
145,ND2,209,1
146,ND2,210,1
147,ND2,211,1
148,ND2,212,1
149,ND2,213,1
150,ND2,214,1
151,ND2,215,1
152,ND2,216,1
153,ND2,217,1
154,ND2,218,1
155,ND2,219,1
156,ND2,220,1
157,ND2,221,1
158,ND2,222,1
159,ND2,223,1
160,ND2,224,1
161,ND2,225,1
162,ND2,226,1
163,ND2,227,1
164,ND2,228,1
165,ND2,229,1
166,ND2,230,1
167,ND2,231,1
168,ND2,232,1
169,ND2,233,1
170,ND2,234,1
171,ND2,235,1
172,ND2,236,1
173,ND2,237,1
174,ND2,238,1
175,ND2,239,1
176,ND2,240,1
177,ND2,241,1
178,ND2,242,1
179,ND2,243,1
180,ND2,244,1
181,ND2,245,1
182,ND2,246,1
183,ND2,247,1
184,ND2,248,1
185,ND2,249,1
186,ND2,250,1
187,ND2,251,1
188,ND2,252,1
189,ND2,253,1
190,ND2,254,1
191,ND2,255,1
192,ND2,256,1
193,ND2,257,1
194,ND2,258,1
195,ND2,259,1
196,ND2,260,1
197,ND2,261,1
198,ND2,262,1
199,ND2,263,1
200,ND2,264,1
201,ND2,265,1
202,ND2,266,1
203,ND2,267,1
204,ND2,268,1
205,ND2,269,1
206,ND2,270,1
207,ND2,271,1
208,ND2,272,1
209,ND2,273,1
210,ND2,274,1
211,ND2,275,1
212,ND2,276,1
213,ND2,277,1
214,ND2,278,1
215,ND2,279,1
216,ND2,280,1
217,ND2,281,1
218,ND2,282,1
219,ND2,283,1
220,ND2,284,1
221,ND2,285,1
222,ND2,286,1
223,ND2,287,1
224,ND2,288,1
225,ND2,289,1
226,ND2,290,1
227,ND2,291,1
228,ND2,292,1
229,ND2,293,1
230,ND2,294,1
231,ND2,295,1
232,ND2,296,1
233,ND2,297,1
234,ND2,298,1
235,ND2,299,1
236,ND2,300,1
237,ND2,301,1
238,ND2,302,1
239,ND2,303,1
240,ND2,304,1
241,ND2,305,1
242,ND2,306,1
243,ND2,307,1
244,ND2,308,1
245,ND2,309,1
246,ND2,310,1
247,ND2,311,1
248,ND2,312,1
249,ND2,313,1
250,ND2,314,1
251,ND2,315,1
252,ND2,316,1
253,ND2,317,1
254,ND2,318,1
255,ND2,319,1
256,ND2,320,1
257,ND2,321,1
258,ND2,322,1
259,ND2,323,1
260,ND2,324,1
261,ND2,325,1
262,ND2,326,1
263,ND2,327,1
264,ND2,328,1
265,ND2,329,1
266,ND2,330,1
267,ND2,331,1
268,ND2,332,1
269,ND2,333,1
270,ND2,334,1
271,ND2,335,1
272,ND2,336,1
273,ND2,337,1
274,ND2,338,1
275,ND2,339,1
276,ND2,340,1
277,ND2,341,1
278,ND2,342,1
279,ND2,343,1
280,ND2,344,1
281,ND2,345,1
282,ND2,346,1
283,ND2,347,1
284,ND2,348,1
285,ND2,349,1
286,ND2,350,1
287,ND2,351,1
288,ND2,352,1
289,ND2,353,1
290,ND2,354,1
291,ND2,355,1
292,ND2,356,1
293,ND2,357,1
294,ND2,358,1
295,ND2,359,1
296,ND2,360,1
297,ND2,361,1
298,ND2,362,1
299,ND2,363,1
300,ND2,364,1
301,ND2,365,1
302,ND2,366,1
303,ND2,367,1
304,ND2,368,1
305,ND2,369,1
306,ND2,370,1
307,ND2,371,1
308,ND2,372,1
309,ND2,373,1
310,ND2,374,1
311,ND2,375,1
312,ND2,376,1
313,ND2,377,1
314,ND2,378,1
315,ND2,379,1
316,ND2,380,1
317,ND2,381,1
318,ND2,382,1
319,ND2,383,1
320,ND2,384,1
321,ND2,385,1
322,ND2,386,1
323,ND2,387,1
324,ND2,388,1
325,ND2,389,1
326,ND2,390,1
327,ND2,391,1
328,ND2,392,1
329,ND2,393,1
330,ND2,394,1
331,ND2,395,1
332,ND2,396,1
333,ND2,397,1
334,ND2,398,1
335,ND2,399,1
336,ND2,400,1
337,ND2,401,1
338,ND2,402,1
339,ND2,403,1
340,ND2,404,1
341,ND2,405,1
342,ND2,406,1
343,ND2,407,1
344,ND2,408,1
345,ND2,409,1
346,ND2,410,1
347,ND2,411,1
348,ND2,412,1
349,ND2,413,1
350,ND2,414,1
351,ND2,415,1
352,ND2,416,1
353,ND2,417,1
354,ND2,418,1
355,ND2,419,1
356,ND2,420,1
357,ND2,421,1
358,ND2,422,1
359,ND2,423,1
360,ND2,424,1
361,ND2,425,1
362,ND2,426,1
363,ND2,427,1
364,ND2,428,1
365,ND2,429,1
366,ND2,430,1
367,ND2,431,1
368,ND2,432,1
369,ND2,433,1
370,ND2,434,1
371,ND2,435,1
372,ND2,436,1
373,ND2,437,1
374,ND2,438,1
375,ND2,439,1
376,ND2,440,1
377,ND2,441,1
378,ND2,442,1
379,ND2,443,1
380,ND2,444,1
381,ND2,445,1
382,ND2,446,1
383,ND2,447,1
384,ND2,448,1
385,ND2,449,1
386,ND2,450,1
387,ND2,451,1
388,ND2,452,1
389,ND2,453,1
390,ND2,454,1
391,ND2,455,1
392,ND2,456,1
393,ND2,457,1
394,ND2,458,1
395,ND2,459,1
396,ND2,460,1
397,ND2,461,1
398,ND2,462,1
399,ND2,463,1
400,ND2,464,1
401,ND2,465,1
402,ND2,466,1
403,ND2,467,1
404,ND2,468,1
405,ND2,469,1
406,ND2,470,1
407,ND2,471,1
408,ND2,472,1
409,ND2,473,1
410,ND2,474,1
411,ND2,475,1
412,ND2,476,1
413,ND2,477,1
414,ND2,478,1
415,ND2,479,1
416,ND2,480,1
417,ND2,481,1
418,ND2,482,1
419,ND2,483,1
420,ND2,484,1
421,ND2,485,1
422,ND2,486,1
423,ND2,487,1
424,ND2,488,1
425,ND2,489,1
426,ND2,490,1
427,ND2,491,1
428,ND2,492,1
429,ND2,493,1
430,ND2,494,1
431,ND2,495,1
432,ND2,496,1
433,ND2,497,1
434,ND2,498,1
435,ND2,499,1
436,ND2,500,1
437,ND2,501,1
438,ND2,502,1
439,ND2,503,1
440,ND2,504,1
441,ND2,505,1
442,ND2,506,1
443,ND2,507,1
444,ND2,508,1
445,ND2,509,1
446,ND2,510,1
447,ND2,511,1
448,ND2,512,1
449,ND2,513,1
450,ND2,514,1
451,ND2,515,1
452,ND2,516,1
453,ND2,517,1
454,ND2,518,1
455,ND2,519,1
456,ND2,520,1
457,ND2,521,1
458,ND2,522,1
459,ND2,523,1
460,ND2,524,1
461,ND2,525,1
462,ND2,526,1
463,ND2,527,1
464,ND2,528,1
465,ND2,529,1
466,ND2,530,1
467,ND2,531,1
468,ND2,532,1
469,ND2,533,1
470,ND2,534,1
471,ND2,535,1
472,ND2,536,1
473,ND2,537,1
474,ND2,538,1
475,ND2,539,1
476,ND2,540,1
477,ND2,541,1
478,ND2,542,1
479,ND2,543,1
480,ND2,544,1
481,ND2,545,1
482,ND2,546,1
483,ND2,547,1
484,ND2,548,1
485,ND2,549,1
486,ND2,550,1
487,ND2,551,1
488,ND2,552,1
489,ND2,553,1
490,ND2,554,1
491,ND2,555,1
492,ND2,556,1
493,ND2,557,1
494,ND2,558,1
495,ND2,559,1
496,ND2,560,1
497,ND2,561,1
498,ND2,562,1
499,ND2,563,1
500,ND2,564,1
501,ND2,565,1
502,ND2,566,1
503,ND2,567,1
504,ND2,568,1
505,ND2,569,1
506,ND2,570,1
507,ND2,571,1
508,ND2,572,1
509,ND2,573,1
510,ND2,574,1
511,ND2,575,1
512,ND2,576,1
513,ND2,577,1
514,ND2,578,1
515,ND2,579,1
516,ND2,580,1
517,ND2,581,1
518,ND2,582,1
519,ND2,583,1
520,ND2,584,1
521,ND2,585,1
522,ND2,586,1
523,ND2,587,1
524,ND2,588,1
525,ND2,589,1
526,ND2,590,1
527,ND2,591,1
528,ND2,592,1
529,ND2,593,1
530,ND2,594,1
531,ND2,595,1
532,ND2,596,1
533,ND2,597,1
534,ND2,598,1
535,ND2,599,1
536,ND2,600,1
537,ND2,601,1
538,ND2,602,1
539,ND2,603,1
540,ND2,604,1
541,ND2,605,1
542,ND2,606,1
543,ND2,607,1
544,ND2,608,1
545,ND2,609,1
546,ND2,610,1
547,ND2,611,1
548,ND2,612,1
549,ND2,613,1
550,ND2,614,1
551,ND2,615,1
552,ND2,616,1
553,ND2,617,1
554,ND2,618,1
555,ND2,619,1
556,ND2,620,1
557,ND2,621,1
558,ND2,622,1
559,ND2,623,1
560,ND2,624,1
561,ND2,625,1
562,ND2,626,1
563,ND2,627,1
564,ND2,628,1
565,ND2,629,1
566,ND2,630,1
567,ND2,631,1
568,ND2,632,1
569,ND2,633,1
570,ND2,634,1
571,ND2,635,1
572,ND2,636,1
573,ND2,637,1
574,ND2,638,1
575,ND2,639,1
576,ND2,640,1
577,ND2,641,1
578,ND2,642,1
579,ND2,643,1
580,ND2,644,1
581,ND2,645,1
582,ND2,646,1
583,ND2,647,1
584,ND2,648,1
585,ND2,649,1
586,ND2,650,1
587,ND2,651,1
588,ND2,652,1
589,ND2,653,1
590,ND2,654,1
591,ND2,655,1
592,ND2,656,1
593,ND2,657,1
594,ND2,658,1
595,ND2,659,1
596,ND2,660,1
597,ND2,661,1
598,ND2,662,1
599,ND2,663,1
600,ND2,664,1
601,ND2,665,1
602,ND2,666,1
603,ND2,667,1
604,ND2,668,1
605,ND2,669,1
606,ND2,670,1
607,ND2,671,1
608,ND2,672,1
609,ND2,673,1
610,ND2,674,1
611,ND2,675,1
612,ND2,676,1
613,ND2,677,1
614,ND2,678,1
615,ND2,679,1
616,ND2,680,1
617,ND2,681,1
618,ND2,682,1
619,ND2,683,1
620,ND2,684,1
621,ND2,685,1
622,ND2,686,1
623,ND2,687,1
624,ND2,688,1
625,ND2,689,1
626,ND2,690,1
627,ND2,691,1
628,ND2,692,1
629,ND2,693,1
630,ND2,694,1
631,ND2,695,1
632,ND2,696,1
633,ND2,697,1
634,ND2,698,1
635,ND2,699,1
636,ND2,700,1
637,ND2,701,1
638,ND2,702,1
639,ND2,703,1
640,ND2,704,1
641,ND2,705,1
642,ND2,706,1
643,ND2,707,1
644,ND2,708,1
645,ND2,709,1
646,ND2,710,1
647,ND2,711,1
648,ND2,712,1
649,ND2,713,1
650,ND2,714,1
651,ND2,715,1
652,ND2,716,1
653,ND2,717,1
654,ND2,718,1
655,ND2,719,1
656,ND2,720,1
657,ND2,721,1
658,ND2,722,1
659,ND2,723,1
660,ND2,724,1
661,ND2,725,1
662,ND2,726,1
663,ND2,727,1
664,ND2,728,1
665,ND2,729,1
666,ND2,730,1
667,ND2,731,1
668,ND2,732,1
669,ND2,733,1
670,ND2,734,1
671,ND2,735,1
672,ND2,736,1
673,ND2,737,1
674,ND2,738,1
675,ND2,739,1
676,ND2,740,1
677,ND2,741,1
678,ND2,742,1
679,ND2,743,1
680,ND2,744,1
681,ND2,745,1
682,ND2,746,1
683,ND2,747,1
684,ND2,748,1
685,ND2,749,1
686,ND2,750,1
687,ND2,751,1
688,ND2,752,1
689,ND2,753,1
690,ND2,754,1
691,ND2,755,1
692,ND2,756,1
693,ND2,757,1
694,ND2,758,1
695,ND2,759,1
696,ND2,760,1
697,ND2,761,1
698,ND2,762,1
699,ND2,763,1
700,ND2,764,1
701,ND2,765,1
702,ND2,766,1
703,ND2,767,1
704,ND2,768,1
705,ND2,769,1
706,ND2,770,1
707,ND2,771,1
708,ND2,772,1
709,ND2,773,1
710,ND2,774,1
711,ND2,775,1
712,ND2,776,1
713,ND2,777,1
714,ND2,778,1
715,ND2,779,1
716,ND2,780,1
717,ND2,781,1
718,ND2,782,1
719,ND2,783,1
720,ND2,784,1
721,ND2,785,1
722,ND2,786,1
723,ND2,787,1
724,ND2,788,1
725,ND2,789,1
726,ND2,790,1
727,ND2,791,1
728,ND2,792,1
729,ND2,793,1
730,ND2,794,1
731,ND2,795,1
732,ND2,796,1
733,ND2,797,1
734,ND2,798,1
735,ND2,799,1
736,ND2,800,1
737,ND2,801,1
738,ND2,802,1
739,ND2,803,1
740,ND2,804,1
741,ND2,805,1
742,ND2,806,1
743,ND2,807,1
744,ND2,808,1
745,ND2,809,1
746,ND2,810,1
747,ND2,811,1
748,ND2,812,1
749,ND2,813,1
750,ND2,814,1
751,ND2,815,1
752,ND2,816,1
753,ND2,817,1
754,ND2,818,1
755,ND2,819,1
756,ND2,820,1
757,ND2,821,1
758,ND2,822,1
759,ND2,823,1
760,ND2,824,1
761,ND2,825,1
762,ND2,826,1
763,ND2,827,1
764,ND2,828,1
765,ND2,829,1
766,ND2,830,1
767,ND2,831,1
768,ND2,832,1
769,ND2,833,1
770,ND2,834,1
771,ND2,835,1
772,ND2,836,1
773,ND2,837,1
774,ND2,838,1
775,ND2,839,1
776,ND2,840,1
777,ND2,841,1
778,ND2,842,1
779,ND2,843,1
780,ND2,844,1
781,ND2,845,1
782,ND2,846,1
783,ND2,847,1
784,ND2,848,1
785,ND2,849,1
786,ND2,850,1
787,ND2,851,1
788,ND2,852,1
789,ND2,853,1
790,ND2,854,1
791,ND2,855,1
792,ND2,856,1
793,ND2,857,1
794,ND2,858,1
795,ND2,859,1
796,ND2,860,1
797,ND2,861,1
798,ND2,862,1
799,ND2,863,1
800,ND2,864,1
801,ND2,865,1
802,ND2,866,1
803,ND2,867,1
804,ND2,868,1
805,ND2,869,1
806,ND2,870,1
807,ND2,871,1
808,ND2,872,1
809,ND2,873,1
810,ND2,874,1
811,ND2,875,1
812,ND2,876,1
813,ND2,877,1
814,ND2,878,1
815,ND2,879,1
816,ND2,880,1
817,ND2,881,1
818,ND2,882,1
819,ND2,883,1
820,ND2,884,1
821,ND2,885,1
822,ND2,886,1
823,ND2,887,1
824,ND2,888,1
825,ND2,889,1
826,ND2,890,1
827,ND2,891,1
828,ND2,892,1
829,ND2,893,1
830,ND2,894,1
831,ND2,895,1
832,ND2,896,1
833,ND2,897,1
834,ND2,898,1
835,ND2,899,1
836,ND2,900,1
837,ND2,901,1
838,ND2,902,1
839,ND2,903,1
840,ND2,904,1
841,ND2,905,1
842,ND2,906,1
843,ND2,907,1
844,ND2,908,1
845,ND2,909,1
846,ND2,910,1
847,ND2,911,1
848,ND2,912,1
849,ND2,913,1
850,ND2,914,1
851,ND2,915,1
852,ND2,916,1
853,ND2,917,1
854,ND2,918,1
855,ND2,919,1
856,ND2,920,1
857,ND2,921,1
858,ND2,922,1
859,ND2,923,1
860,ND2,924,1
861,ND2,925,1
862,ND2,926,1
863,ND2,927,1
864,ND2,928,1
865,ND2,929,1
866,ND2,930,1
867,ND2,931,1
868,ND2,932,1
869,ND2,933,1
870,ND2,934,1
871,ND2,935,1
872,ND2,936,1
873,ND2,937,1
874,ND2,938,1
875,ND2,939,1
876,ND2,940,1
877,ND2,941,1
878,ND2,942,1
879,ND2,943,1
880,ND2,944,1
881,ND2,945,1
882,ND2,946,1
883,ND2,947,1
884,ND2,948,1
885,ND2,949,1
886,ND2,950,1
887,ND2,951,1
888,ND2,952,1
889,ND2,953,1
890,ND2,954,1
891,ND2,955,1
892,ND2,956,1
893,ND2,957,1
894,ND2,958,1
895,ND2,959,1
896,ND2,960,1
897,ND2,961,1
898,ND2,962,1
899,ND2,963,1
900,ND2,964,1
901,ND2,965,1
902,ND2,966,1
903,ND2,967,1
904,ND2,968,1
905,ND2,969,1
906,ND2,970,1
907,ND2,971,1
908,ND2,972,1
909,ND2,973,1
910,ND2,974,1
911,ND2,975,1
912,ND2,976,1
913,ND2,977,1
914,ND2,978,1
915,ND2,979,1
916,ND2,980,1
917,ND2,981,1
918,ND2,982,1
919,ND2,983,1
920,ND2,984,1
921,ND2,985,1
922,ND2,986,1
923,ND2,987,1
924,ND2,988,1
925,ND2,989,1
926,ND2,990,1
927,ND2,991,1
928,ND2,992,1
929,ND2,993,1
930,ND2,994,1
931,ND2,995,1
932,ND2,996,1
933,ND2,997,1
934,ND2,998,1
935,ND2,999,1
936,ND2,1000,1
937,ND2,1001,1
938,ND2,1002,1
939,ND2,1003,1
940,ND2,1004,1
941,ND2,1005,1
942,ND2,1006,1
943,ND2,1007,1
944,ND2,1008,1
945,ND2,1009,1
946,ND2,1010,1
947,ND2,1011,1
948,ND2,1012,1
949,ND2,1013,1
950,ND2,1014,1
951,ND2,1015,1
952,ND2,1016,1
953,ND2,1017,1
954,ND2,1018,1
955,ND2,1019,1
956,ND2,1020,1
957,ND2,1021,1
958,ND2,1022,1
959,ND2,1023,1
960,ND2,1024,1
961,ND2,1025,1
962,ND2,1026,1
963,ND2,1027,1
964,ND2,1028,1
965,ND2,1029,1
966,ND2,1030,1
967,ND2,1031,1
968,ND2,1032,1
969,ND2,1033,1
970,ND2,1034,1
971,ND2,1035,1
972,ND2,1036,1
0,trnW,1035,1
1,trnW,1036,1
2,trnW,1037,1
3,trnW,1038,1
4,trnW,1039,1
5,trnW,1040,1
6,trnW,1041,1
7,trnW,1042,1
8,trnW,1043,1
9,trnW,1044,1
10,trnW,1045,1
11,trnW,1046,1
12,trnW,1047,1
13,trnW,1048,1
14,trnW,1049,1
15,trnW,1050,1
16,trnW,1051,1
17,trnW,1052,1
18,trnW,1053,1
19,trnW,1054,1
20,trnW,1055,1
21,trnW,1056,1
22,trnW,1057,1
23,trnW,1058,1
24,trnW,1059,1
25,trnW,1060,1
26,trnW,1061,1
27,trnW,1062,1
28,trnW,1063,1
29,trnW,1064,1
30,trnW,1065,1
31,trnW,1066,1
32,trnW,1067,1
33,trnW,1068,1
34,trnW,1069,1
35,trnW,1070,1
36,trnW,1071,1
37,trnW,1072,1
38,trnW,1073,1
39,trnW,1074,1
40,trnW,1075,1
41,trnW,1076,1
42,trnW,1077,1
43,trnW,1078,1
44,trnW,1079,1
45,trnW,1080,1
46,trnW,1081,1
47,trnW,1082,1
48,trnW,1083,1
49,trnW,1084,1
50,trnW,1085,1
51,trnW,1086,1
52,trnW,1087,1
53,trnW,1088,1
54,trnW,1089,1
55,trnW,1090,1
56,trnW,1091,1
57,trnW,1092,1
58,trnW,1093,1
59,trnW,1094,1
60,trnW,1095,1
61,trnW,1096,1
62,trnW,1097,1
63,trnW,1098,1
64,trnW,1099,1
65,trnW,1100,1
0,trnC,1092,1
1,trnC,1093,1
2,trnC,1094,1
3,trnC,1095,1
4,trnC,1096,1
5,trnC,1097,1
6,trnC,1098,1
7,trnC,1099,1
8,trnC,1100,1
9,trnC,1101,1
10,trnC,1102,1
11,trnC,1103,1
12,trnC,1104,1
13,trnC,1105,1
14,trnC,1106,1
15,trnC,1107,1
16,trnC,1108,1
17,trnC,1109,1
18,trnC,1110,1
19,trnC,1111,1
20,trnC,1112,1
21,trnC,1113,1
22,trnC,1114,1
23,trnC,1115,1
24,trnC,1116,1
25,trnC,1117,1
26,trnC,1118,1
27,trnC,1119,1
28,trnC,1120,1
29,trnC,1121,1
30,trnC,1122,1
31,trnC,1123,1
32,trnC,1124,1
33,trnC,1125,1
34,trnC,1126,1
35,trnC,1127,1
36,trnC,1128,1
37,trnC,1129,1
38,trnC,1130,1
39,trnC,1131,1
40,trnC,1132,1
41,trnC,1133,1
42,trnC,1134,1
43,trnC,1135,1
44,trnC,1136,1
45,trnC,1137,1
46,trnC,1138,1
47,trnC,1139,1
48,trnC,1140,1
49,trnC,1141,1
50,trnC,1142,1
51,trnC,1143,1
52,trnC,1144,1
53,trnC,1145,1
54,trnC,1146,1
55,trnC,1147,1
56,trnC,1148,1
57,trnC,1149,1
58,trnC,1150,1
59,trnC,1151,1
60,trnC,1152,1
61,trnC,1153,1
62,trnC,1154,1
0,trnY,1163,1
1,trnY,1164,1
2,trnY,1165,1
3,trnY,1166,1
4,trnY,1167,1
5,trnY,1168,1
6,trnY,1169,1
7,trnY,1170,1
8,trnY,1171,1
9,trnY,1172,1
10,trnY,1173,1
11,trnY,1174,1
12,trnY,1175,1
13,trnY,1176,1
14,trnY,1177,1
15,trnY,1178,1
16,trnY,1179,1
17,trnY,1180,1
18,trnY,1181,1
19,trnY,1182,1
20,trnY,1183,1
21,trnY,1184,1
22,trnY,1185,1
23,trnY,1186,1
24,trnY,1187,1
25,trnY,1188,1
26,trnY,1189,1
27,trnY,1190,1
28,trnY,1191,1
29,trnY,1192,1
30,trnY,1193,1
31,trnY,1194,1
32,trnY,1195,1
33,trnY,1196,1
34,trnY,1197,1
35,trnY,1198,1
36,trnY,1199,1
37,trnY,1200,1
38,trnY,1201,1
39,trnY,1202,1
40,trnY,1203,1
41,trnY,1204,1
42,trnY,1205,1
43,trnY,1206,1
44,trnY,1207,1
45,trnY,1208,1
46,trnY,1209,1
47,trnY,1210,1
48,trnY,1211,1
49,trnY,1212,1
50,trnY,1213,1
51,trnY,1214,1
52,trnY,1215,1
53,trnY,1216,1
54,trnY,1217,1
55,trnY,1218,1
56,trnY,1219,1
57,trnY,1220,1
58,trnY,1221,1
59,trnY,1222,1
60,trnY,1223,1
61,trnY,1224,1
62,trnY,1225,1
63,trnY,1226,1
64,trnY,1227,1
65,trnY,1228,1
66,trnY,1229,1
0,COX1,1221,1
1,COX1,1222,1
2,COX1,1223,1
3,COX1,1224,1
4,COX1,1225,1
5,COX1,1226,1
6,COX1,1227,1
7,COX1,1228,1
8,COX1,1229,1
9,COX1,1230,1
10,COX1,1231,1
11,COX1,1232,1
12,COX1,1233,1
13,COX1,1234,1
14,COX1,1235,1
15,COX1,1236,1
16,COX1,1237,1
17,COX1,1238,1
18,COX1,1239,1
19,COX1,1240,1
20,COX1,1241,1
21,COX1,1242,1
22,COX1,1243,1
23,COX1,1244,1
24,COX1,1245,1
25,COX1,1246,1
26,COX1,1247,1
27,COX1,1248,1
28,COX1,1249,1
29,COX1,1250,1
30,COX1,1251,1
31,COX1,1252,1
32,COX1,1253,1
33,COX1,1254,1
34,COX1,1255,1
35,COX1,1256,1
36,COX1,1257,1
37,COX1,1258,1
38,COX1,1259,1
39,COX1,1260,1
40,COX1,1261,1
41,COX1,1262,1
42,COX1,1263,1
43,COX1,1264,1
44,COX1,1265,1
45,COX1,1266,1
46,COX1,1267,1
47,COX1,1268,1
48,COX1,1269,1
49,COX1,1270,1
50,COX1,1271,1
51,COX1,1272,1
52,COX1,1273,1
53,COX1,1274,1
54,COX1,1275,1
55,COX1,1276,1
56,COX1,1277,1
57,COX1,1278,1
58,COX1,1279,1
59,COX1,1280,1
60,COX1,1281,1
61,COX1,1282,1
62,COX1,1283,1
63,COX1,1284,1
64,COX1,1285,1
65,COX1,1286,1
66,COX1,1287,1
67,COX1,1288,1
68,COX1,1289,1
69,COX1,1290,1
70,COX1,1291,1
71,COX1,1292,1
72,COX1,1293,1
73,COX1,1294,1
74,COX1,1295,1
75,COX1,1296,1
76,COX1,1297,1
77,COX1,1298,1
78,COX1,1299,1
79,COX1,1300,1
80,COX1,1301,1
81,COX1,1302,1
82,COX1,1303,1
83,COX1,1304,1
84,COX1,1305,1
85,COX1,1306,1
86,COX1,1307,1
87,COX1,1308,1
88,COX1,1309,1
89,COX1,1310,1
90,COX1,1311,1
91,COX1,1312,1
92,COX1,1313,1
93,COX1,1314,1
94,COX1,1315,1
95,COX1,1316,1
96,COX1,1317,1
97,COX1,1318,1
98,COX1,1319,1
99,COX1,1320,1
100,COX1,1321,1
101,COX1,1322,1
102,COX1,1323,1
103,COX1,1324,1
104,COX1,1325,1
105,COX1,1326,1
106,COX1,1327,1
107,COX1,1328,1
108,COX1,1329,1
109,COX1,1330,1
110,COX1,1331,1
111,COX1,1332,1
112,COX1,1333,1
113,COX1,1334,1
114,COX1,1335,1
115,COX1,1336,1
116,COX1,1337,1
117,COX1,1338,1
118,COX1,1339,1
119,COX1,1340,1
120,COX1,1341,1
121,COX1,1342,1
122,COX1,1343,1
123,COX1,1344,1
124,COX1,1345,1
125,COX1,1346,1
126,COX1,1347,1
127,COX1,1348,1
